"H0022200","R0000100","R0007900","R0173600","R0214700","R0214800","R1774200","T4892700","T5176100","T5595900","T5596000","T5596200","T5596700","T5599700","T5599800","T5599900","T5600000","T5619500","T5621700","T5731800","T5732000","T5772700","T5772900","T5774300"
1,212,16,1,3,1,7,225,-4,6,0,1,1,1,5,5,0,60000,-4,1,0,2755,0,11
-4,213,16,1,3,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,214,16,1,3,1,2,245,16,6,0,1,1,3,3,3,0,135000,-4,0,0,2860,0,20
-4,215,12,1,3,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3,216,14,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,217,14,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1,218,12,1,3,1,2,160,-4,5,7,2,2,3,1,1,0,332954,-4,0,0,2500,2,11
5,219,11,5,3,2,2,150,-4,5,4,2,2,4,2,3,0,0,-4,0,0,0,0,6
5,220,12,5,3,2,2,150,-4,5,7,4,1,3,1,1,0,145000,-4,0,0,2080,0,8
3,221,-2,7,2,2,4,197,-4,5,2,2,2,1,3,1,1,10000,-4,1,0,0,0,8
2,222,-2,3,2,1,4,180,-4,5,5,5,5,1,3,5,2,0,-4,0,0,0,0,10
1,223,-2,3,2,1,4,175,-4,5,4,-4,-4,3,3,1,1,73000,-4,0,1,2392,0,4
5,224,-2,7,2,2,-5,258,-4,5,4,1,1,4,2,2,0,15000,-4,1,0,1300,0,2
-4,225,-2,4,1,1,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,226,6,4,1,1,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3,227,9,7,2,2,4,160,-4,5,4,2,-2,3,3,3,3,32000,-4,1,1,2520,0,7
2,228,15,8,1,2,5,195,-4,5,3,2,1,1,4,3,1,0,-4,0,0,0,0,8
5,229,9,5,3,2,9,184,-4,5,7,1,2,1,1,1,1,0,-4,1,0,0,0,39
